mode: set
isMutant/utils/matrix.go:10.66,12.28 2 1
isMutant/utils/matrix.go:22.2,22.33 1 1
isMutant/utils/matrix.go:12.28,13.29 1 1
isMutant/utils/matrix.go:16.3,17.24 2 1
isMutant/utils/matrix.go:20.3,20.31 1 1
isMutant/utils/matrix.go:13.29,15.4 1 0
isMutant/utils/matrix.go:17.24,19.4 1 0
isMutant/utils/matrix.go:25.40,28.32 3 1
isMutant/utils/matrix.go:42.2,42.21 1 1
isMutant/utils/matrix.go:28.32,29.21 1 1
isMutant/utils/matrix.go:29.21,30.26 1 1
isMutant/utils/matrix.go:30.26,32.23 2 1
isMutant/utils/matrix.go:32.23,36.6 3 1
isMutant/utils/matrix.go:37.10,39.5 1 1
isMutant/utils/matrix.go:45.40,47.2 1 1
isMutant/utils/matrix.go:49.50,51.35 2 1
isMutant/utils/matrix.go:54.2,54.34 1 1
isMutant/utils/matrix.go:51.35,53.3 1 1
isMutant/utils/matrix.go:58.51,61.47 3 1
isMutant/utils/matrix.go:65.2,65.34 1 1
isMutant/utils/matrix.go:61.47,64.3 2 1
isMutant/utils/matrix.go:69.51,72.51 3 1
isMutant/utils/matrix.go:76.2,76.34 1 1
isMutant/utils/matrix.go:72.51,75.3 2 1
isMutant/utils/matrix.go:80.51,83.58 3 1
isMutant/utils/matrix.go:87.2,87.34 1 1
isMutant/utils/matrix.go:83.58,86.3 2 1
isMutant/utils/matrix.go:91.51,94.58 3 1
isMutant/utils/matrix.go:98.2,98.34 1 1
isMutant/utils/matrix.go:94.58,97.3 2 1
isMutant/utils/matrix.go:101.37,103.29 2 1
isMutant/utils/matrix.go:108.2,108.13 1 1
isMutant/utils/matrix.go:103.29,104.36 1 1
isMutant/utils/matrix.go:104.36,106.4 1 1
